24
# x y z
0	0	0
5	0	0
10	0	0
15	0	0
20	0	0
25	0	0
30	0	0
35	0	0
40	0	0
45	0	0
50	0	0
55	0	0
60	0	0
65	0	0
70	0	0
75	0	0
80	0	0
85	0	0
90	0	0
95	0	0
100	0	0
105	0	0
110	0	0
115	0	0
213
# a b m n rhoa err k
7	18	12	13	6.03437084443056e+01	2.00165717359072e-02	4.71238898038469e+02
7	16	11	12	4.84025638049013e+01	2.00206600626370e-02	3.14159265358979e+02
7	14	10	11	4.31337102462719e+01	2.00231837232246e-02	1.88495559215388e+02
7	12	9	10	3.20222414703042e+01	2.00312282949002e-02	9.42477796076938e+01
7	10	8	9	2.80385870735340e+01	2.00356651352430e-02	3.14159265358979e+01
8	17	12	13	5.01831757512159e+01	2.00199269971466e-02	3.14159265358979e+02
8	15	11	12	4.08946380515147e+01	2.00244530835250e-02	1.88495559215388e+02
8	13	10	11	3.62741386022358e+01	2.00275678496729e-02	9.42477796076938e+01
8	11	9	10	2.64245799414080e+01	2.00378435533211e-02	3.14159265358979e+01
9	23	15	17	7.79229214087483e+01	2.00128331944173e-02	3.76991118430775e+02
18	23	20	21	4.97871728046262e+01	2.00200854947905e-02	9.42477796076938e+01
18	21	19	20	4.16881128635773e+01	2.00239876533455e-02	3.14159265358979e+01
9	20	14	15	7.08288088369202e+01	2.00141185488846e-02	4.71238898038469e+02
9	18	13	14	5.77704787402860e+01	2.00173098790560e-02	3.14159265358979e+02
9	16	12	13	4.14839388706311e+01	2.00241057148194e-02	1.88495559215388e+02
9	14	11	12	3.50101515975449e+01	2.00285631439559e-02	9.42477796076938e+01
9	12	10	11	2.98498084809303e+01	2.00335010524653e-02	3.14159265358979e+01
10	19	14	15	6.10417237080646e+01	2.00163822372511e-02	3.14159265358979e+02
10	17	13	14	4.74825044522607e+01	2.00210603886955e-02	1.88495559215388e+02
10	15	12	13	3.49038167366909e+01	2.00286501618876e-02	9.42477796076938e+01
10	13	11	12	2.95820571972821e+01	2.00338042751162e-02	3.14159265358979e+01
21	24	22	23	4.14289448800827e+01	2.00241377134488e-02	3.14159265358979e+01
11	22	16	17	6.41750272587367e+01	2.00155823852784e-02	4.71238898038469e+02
11	20	15	16	6.10482081336643e+01	2.00163804971607e-02	3.14159265358979e+02
11	18	14	15	5.15342111875583e+01	2.00194045853610e-02	1.88495559215388e+02
11	16	13	14	3.99054412753424e+01	2.00250592392426e-02	9.42477796076938e+01
11	14	12	13	3.11779934575368e+01	2.00320739049921e-02	3.14159265358979e+01
